id,timeInS,studentPlace,distortion,
1,10,1L,eat,
2,10,1R,breathing,
3,10,5L,breathing,
4,10,7R,breathing,
5,10,11L,breathing,
6,10,12R,breathing,
7,10,13R,breathing,
8,10,14L,breathing,
9,10,14R,breathing,
10,10,15R,breathing,
11,20,1L,breathing,
12,20,1R,breathing,
13,20,5L,breathing,
14,20,7R,breathing,
15,20,11L,breathing,
16,20,12R,breathing,
17,20,13R,breathing,
18,20,14L,breathing,
19,20,14R,breathing,
20,20,15R,breathing,
21,30,1L,breathing,
22,30,1R,breathing,
23,30,5L,breathing,
24,30,7R,breathing,
25,30,11L,breathing,
26,30,12R,breathing,
27,30,13R,breathing,
28,30,14L,breathing,
29,30,14R,breathing,
30,30,15R,breathing,
31,40,1L,breathing,
32,40,1R,breathing,
33,40,5L,breathing,
34,40,7R,breathing,
35,40,11L,breathing,
36,40,12R,breathing,
37,40,13R,breathing,
38,40,14L,breathing,
39,40,14R,breathing,
40,40,15R,breathing,
41,50,1L,breathing,
42,50,1R,breathing,
43,50,5L,breathing,
44,50,7R,breathing,
45,50,11L,breathing,
46,50,12R,breathing,
47,50,13R,breathing,
48,50,14L,breathing,
49,50,14R,breathing,
50,50,15R,breathing,
51,60,1L,breathing,
52,60,1R,breathing,
53,60,5L,breathing,
54,60,7R,breathing,
55,60,11L,breathing,
56,60,12R,breathing,
57,60,13R,breathing,
58,60,14L,breathing,
59,60,14R,breathing,
60,60,15R,breathing,
61,70,1L,breathing,
62,70,1R,breathing,
63,70,5L,breathing,
64,70,7R,breathing,
65,70,11L,breathing,
66,70,12R,breathing,
67,70,13R,breathing,
68,70,14L,breathing,
69,70,14R,breathing,
70,70,15R,breathing,
71,80,1L,breathing,
72,80,1R,breathing,
73,80,5L,breathing,
74,80,7R,breathing,
75,80,11L,breathing,
76,80,12R,breathing,
77,80,13R,breathing,
78,80,14L,breathing,
79,80,14R,breathing,
80,80,15R,breathing,
81,90,1L,breathing,
82,90,1R,breathing,
83,90,5L,breathing,
84,90,7R,breathing,
85,90,11L,breathing,
86,90,12R,breathing,
87,90,13R,breathing,
88,90,14L,breathing,
89,90,14R,breathing,
90,90,15R,breathing,
91,100,1L,breathing,
92,100,1R,breathing,
93,100,5L,breathing,
94,100,7R,breathing,
95,100,11L,breathing,
96,100,12R,breathing,
97,100,13R,breathing,
98,100,14L,breathing,
99,100,14R,breathing,
100,100,15R,breathing,
101,110,1L,breathing,
102,110,1R,breathing,
103,110,5L,breathing,
104,110,7R,breathing,
105,110,11L,breathing,
106,110,12R,breathing,
107,110,13R,breathing,
108,110,14L,breathing,
109,110,14R,breathing,
110,110,15R,breathing,
111,120,1L,breathing,
112,120,1R,breathing,
113,120,5L,breathing,
114,120,7R,breathing,
115,120,11L,breathing,
116,120,12R,breathing,
117,120,13R,breathing,
118,120,14L,breathing,
119,120,14R,breathing,
120,120,15R,breathing,
121,130,1L,breathing,
122,130,1R,breathing,
123,130,5L,breathing,
124,130,7R,breathing,
125,130,11L,breathing,
126,130,12R,breathing,
127,130,13R,breathing,
128,130,14L,breathing,
129,130,14R,breathing,
130,130,15R,breathing,
131,140,1L,breathing,
132,140,1R,breathing,
133,140,5L,breathing,
134,140,7R,breathing,
135,140,11L,breathing,
136,140,12R,breathing,
137,140,13R,breathing,
138,140,14L,breathing,
139,140,14R,breathing,
140,140,15R,breathing,
141,150,1L,breathing,
142,150,1R,breathing,
143,150,5L,breathing,
144,150,7R,breathing,
145,150,11L,breathing,
146,150,12R,breathing,
147,150,13R,breathing,
148,150,14L,breathing,
149,150,14R,breathing,
150,150,15R,breathing,
151,160,1L,breathing,
152,160,1R,breathing,
153,160,5L,breathing,
154,160,7R,breathing,
155,160,11L,breathing,
156,160,12R,breathing,
157,160,13R,breathing,
158,160,14L,breathing,
159,160,14R,breathing,
160,160,15R,breathing,
161,170,1L,breathing,
162,170,1R,breathing,
163,170,5L,breathing,
164,170,7R,breathing,
165,170,11L,breathing,
166,170,12R,breathing,
167,170,13R,breathing,
168,170,14L,breathing,
169,170,14R,breathing,
170,170,15R,breathing,
171,180,1L,breathing,
172,180,1R,breathing,
173,180,5L,breathing,
174,180,7R,breathing,
175,180,11L,breathing,
176,180,12R,breathing,
177,180,13R,breathing,
178,180,14L,breathing,
179,180,14R,breathing,
180,180,15R,breathing,
181,190,1L,breathing,
182,190,1R,breathing,
183,190,5L,breathing,
184,190,7R,breathing,
185,190,11L,breathing,
186,190,12R,breathing,
187,190,13R,breathing,
188,190,14L,breathing,
189,190,14R,breathing,
190,190,15R,breathing,
191,200,1L,breathing,
192,200,1R,breathing,
193,200,5L,breathing,
194,200,7R,breathing,
195,200,11L,breathing,
196,200,12R,breathing,
197,200,13R,breathing,
198,200,14L,breathing,
199,200,14R,breathing,
200,200,15R,breathing,
201,210,1L,breathing,
202,210,1R,breathing,
203,210,5L,breathing,
204,210,7R,breathing,
205,210,11L,breathing,
206,210,12R,breathing,
207,210,13R,breathing,
208,210,14L,breathing,
209,210,14R,breathing,
210,210,15R,breathing,
211,220,1L,breathing,
212,220,1R,breathing,
213,220,5L,breathing,
214,220,7R,breathing,
215,220,11L,breathing,
216,220,12R,breathing,
217,220,13R,breathing,
218,220,14L,breathing,
219,220,14R,breathing,
220,220,15R,breathing,
221,230,1L,breathing,
222,230,1R,breathing,
223,230,5L,breathing,
224,230,7R,breathing,
225,230,11L,breathing,
226,230,12R,breathing,
227,230,13R,breathing,
228,230,14L,breathing,
229,230,14R,breathing,
230,230,15R,breathing,
231,240,1L,breathing,
232,240,1R,breathing,
233,240,5L,breathing,
234,240,7R,breathing,
235,240,11L,breathing,
236,240,12R,breathing,
237,240,13R,breathing,
238,240,14L,breathing,
239,240,14R,breathing,
240,240,15R,breathing,
241,250,1L,breathing,
242,250,1R,breathing,
243,250,5L,breathing,
244,250,7R,breathing,
245,250,11L,breathing,
246,250,12R,breathing,
247,250,13R,breathing,
248,250,14L,breathing,
249,250,14R,breathing,
250,250,15R,breathing,
251,260,1L,breathing,
252,260,1R,breathing,
253,260,5L,breathing,
254,260,7R,breathing,
255,260,11L,breathing,
256,260,12R,breathing,
257,260,13R,breathing,
258,260,14L,breathing,
259,260,14R,breathing,
260,260,15R,breathing,
261,270,1L,breathing,
262,270,1R,breathing,
263,270,5L,breathing,
264,270,7R,breathing,
265,270,11L,breathing,
266,270,12R,breathing,
267,270,13R,breathing,
268,270,14L,breathing,
269,270,14R,breathing,
270,270,15R,breathing,
271,280,1L,breathing,
272,280,1R,breathing,
273,280,5L,breathing,
274,280,7R,breathing,
275,280,11L,breathing,
276,280,12R,breathing,
277,280,13R,breathing,
278,280,14L,breathing,
279,280,14R,breathing,
280,280,15R,breathing,
281,290,1L,breathing,
282,290,1R,breathing,
283,290,5L,breathing,
284,290,7R,breathing,
285,290,11L,breathing,
286,290,12R,breathing,
287,290,13R,breathing,
288,290,14L,breathing,
289,290,14R,breathing,
290,290,15R,breathing,
291,300,1L,breathing,
292,300,1R,breathing,
293,300,5L,breathing,
294,300,7R,breathing,
295,300,11L,breathing,
296,300,12R,breathing,
297,300,13R,breathing,
298,300,14L,breathing,
299,300,14R,breathing,
300,300,15R,breathing,
301,310,1L,breathing,
302,310,1R,breathing,
303,310,5L,breathing,
304,310,7R,breathing,
305,310,11L,breathing,
306,310,12R,breathing,
307,310,13R,breathing,
308,310,14L,breathing,
309,310,14R,breathing,
310,310,15R,breathing,
311,320,1L,breathing,
312,320,1R,playing,
313,320,5L,breathing,
314,320,7R,breathing,
315,320,11L,breathing,
316,320,12R,breathing,
317,320,13R,breathing,
318,320,14L,breathing,
319,320,14R,breathing,
320,320,15R,breathing,
321,330,1L,breathing,
322,330,1R,breathing,
323,330,5L,breathing,
324,330,7R,breathing,
325,330,11L,breathing,
326,330,12R,breathing,
327,330,13R,breathing,
328,330,14L,chatting,
329,330,14R,chatting,
330,330,15R,breathing,
331,340,1L,breathing,
332,340,1R,breathing,
333,340,5L,eat,
334,340,7R,breathing,
335,340,11L,breathing,
336,340,12R,breathing,
337,340,13R,breathing,
338,340,14L,breathing,
339,340,14R,breathing,
340,340,15R,breathing,
341,350,1L,chatting,
342,350,1R,chatting,
343,350,5L,breathing,
344,350,7R,breathing,
345,350,11L,breathing,
346,350,12R,breathing,
347,350,13R,breathing,
348,350,14L,breathing,
349,350,14R,breathing,
350,350,15R,breathing,
351,360,1L,breathing,
352,360,1R,breathing,
353,360,5L,breathing,
354,360,7R,letargic,
355,360,11L,breathing,
356,360,12R,breathing,
357,360,13R,breathing,
358,360,14L,breathing,
359,360,14R,breathing,
360,360,15R,breathing,
361,370,1L,breathing,
362,370,1R,breathing,
363,370,5L,breathing,
364,370,7R,breathing,
365,370,11L,letargic,
366,370,12R,breathing,
367,370,13R,breathing,
368,370,14L,breathing,
369,370,14R,breathing,
370,370,15R,breathing,
371,380,1L,breathing,
372,380,1R,breathing,
373,380,5L,breathing,
374,380,7R,breathing,
375,380,11L,breathing,
376,380,12R,letargic,
377,380,13R,breathing,
378,380,14L,hit,
379,380,14R,hit,
380,380,15R,breathing,
381,390,1L,breathing,
382,390,1R,breathing,
383,390,5L,breathing,
384,390,7R,breathing,
385,390,11L,breathing,
386,390,12R,breathing,
387,390,13R,throw,
388,390,14L,breathing,
389,390,14R,breathing,
390,390,15R,breathing,
391,400,1L,breathing,
392,400,1R,breathing,
393,400,5L,breathing,
394,400,7R,breathing,
395,400,11L,breathing,
396,400,12R,breathing,
397,400,13R,breathing,
398,400,14L,breathing,
399,400,14R,breathing,
400,400,15R,breathing,
401,410,1L,breathing,
402,410,1R,breathing,
403,410,5L,breathing,
404,410,7R,breathing,
405,410,11L,breathing,
406,410,12R,breathing,
407,410,13R,breathing,
408,410,14L,chatting,
409,410,14R,chatting,
410,410,15R,breathing,
411,420,1L,breathing,
412,420,1R,breathing,
413,420,5L,breathing,
414,420,7R,breathing,
415,420,11L,breathing,
416,420,12R,breathing,
417,420,13R,breathing,
418,420,14L,breathing,
419,420,14R,breathing,
420,420,15R,breathing,
421,430,1L,breathing,
422,430,1R,breathing,
423,430,5L,breathing,
424,430,7R,breathing,
425,430,11L,breathing,
426,430,12R,breathing,
427,430,13R,breathing,
428,430,14L,breathing,
429,430,14R,breathing,
430,430,15R,breathing,
431,440,1L,breathing,
432,440,1R,breathing,
433,440,5L,breathing,
434,440,7R,letargic,
435,440,11L,breathing,
436,440,12R,breathing,
437,440,13R,breathing,
438,440,14L,breathing,
439,440,14R,breathing,
440,440,15R,breathing,
441,450,1L,breathing,
442,450,1R,breathing,
443,450,5L,breathing,
444,450,7R,breathing,
445,450,11L,breathing,
446,450,12R,breathing,
447,450,13R,breathing,
448,450,14L,breathing,
449,450,14R,breathing,
450,450,15R,breathing,
451,460,1L,breathing,
452,460,1R,breathing,
453,460,5L,breathing,
454,460,7R,breathing,
455,460,11L,breathing,
456,460,12R,breathing,
457,460,13R,breathing,
458,460,14L,breathing,
459,460,14R,breathing,
460,460,15R,breathing,
461,470,1L,breathing,
462,470,1R,breathing,
463,470,5L,breathing,
464,470,7R,breathing,
465,470,11L,breathing,
466,470,12R,breathing,
467,470,13R,breathing,
468,470,14L,breathing,
469,470,14R,breathing,
470,470,15R,breathing,
471,480,1L,breathing,
472,480,1R,breathing,
473,480,5L,letargic,
474,480,7R,breathing,
475,480,11L,breathing,
476,480,12R,breathing,
477,480,13R,breathing,
478,480,14L,breathing,
479,480,14R,breathing,
480,480,15R,breathing,
481,490,1L,breathing,
482,490,1R,breathing,
483,490,5L,breathing,
484,490,7R,breathing,
485,490,11L,breathing,
486,490,12R,breathing,
487,490,13R,breathing,
488,490,14L,breathing,
489,490,14R,breathing,
490,490,15R,breathing,
491,500,1L,breathing,
492,500,1R,breathing,
493,500,5L,breathing,
494,500,7R,breathing,
495,500,11L,breathing,
496,500,12R,breathing,
497,500,13R,breathing,
498,500,14L,breathing,
499,500,14R,breathing,
500,500,15R,breathing,
501,510,1L,breathing,
502,510,1R,breathing,
503,510,5L,breathing,
504,510,7R,breathing,
505,510,11L,breathing,
506,510,12R,breathing,
507,510,13R,breathing,
508,510,14L,breathing,
509,510,14R,breathing,
510,510,15R,breathing,
511,520,1L,writing,
512,520,1R,writing,
513,520,5L,writing,
514,520,7R,writing,
515,520,11L,writing,
516,520,12R,writing,
517,520,13R,writing,
518,520,14L,writing,
519,520,14R,writing,
520,520,15R,writing,
521,530,1L,writing,
522,530,1R,writing,
523,530,5L,writing,
524,530,7R,writing,
525,530,11L,writing,
526,530,12R,writing,
527,530,13R,writing,
528,530,14L,chatting,
529,530,14R,chatting,
530,530,15R,writing,
531,540,1L,writing,
532,540,1R,writing,
533,540,5L,writing,
534,540,7R,writing,
535,540,11L,writing,
536,540,12R,writing,
537,540,13R,writing,
538,540,14L,writing,
539,540,14R,writing,
540,540,15R,writing,
541,550,1L,writing,
542,550,1R,writing,
543,550,5L,writing,
544,550,7R,writing,
545,550,11L,writing,
546,550,12R,writing,
547,550,13R,writing,
548,550,14L,writing,
549,550,14R,writing,
550,550,15R,writing,
551,560,1L,writing,
552,560,1R,writing,
553,560,5L,writing,
554,560,7R,letargic,
555,560,11L,writing,
556,560,12R,writing,
557,560,13R,writing,
558,560,14L,writing,
559,560,14R,writing,
560,560,15R,writing,
561,570,1L,writing,
562,570,1R,writing,
563,570,5L,writing,
564,570,7R,writing,
565,570,11L,writing,
566,570,12R,writing,
567,570,13R,writing,
568,570,14L,writing,
569,570,14R,writing,
570,570,15R,writing,
571,580,1L,writing,
572,580,1R,writing,
573,580,5L,writing,
574,580,7R,writing,
575,580,11L,writing,
576,580,12R,writing,
577,580,13R,writing,
578,580,14L,writing,
579,580,14R,writing,
580,580,15R,writing,
581,590,1L,writing,
582,590,1R,writing,
583,590,5L,writing,
584,590,7R,writing,
585,590,11L,writing,
586,590,12R,writing,
587,590,13R,writing,
588,590,14L,writing,
589,590,14R,writing,
590,590,15R,writing,
591,600,1L,writing,
592,600,1R,writing,
593,600,5L,letargic,
594,600,7R,writing,
595,600,11L,writing,
596,600,12R,writing,
597,600,13R,writing,
598,600,14L,writing,
599,600,14R,writing,
600,600,15R,writing,
601,610,1L,writing,
602,610,1R,playing,
603,610,5L,writing,
604,610,7R,writing,
605,610,11L,writing,
606,610,12R,writing,
607,610,13R,writing,
608,610,14L,writing,
609,610,14R,writing,
610,610,15R,writing,
611,620,1L,writing,
612,620,1R,writing,
613,620,5L,writing,
614,620,7R,writing,
615,620,11L,writing,
616,620,12R,writing,
617,620,13R,writing,
618,620,14L,chatting,
619,620,14R,chatting,
620,620,15R,writing,
621,630,1L,writing,
622,630,1R,writing,
623,630,5L,eat,
624,630,7R,writing,
625,630,11L,writing,
626,630,12R,writing,
627,630,13R,writing,
628,630,14L,writing,
629,630,14R,writing,
630,630,15R,writing,
631,640,1L,chatting,
632,640,1R,chatting,
633,640,5L,writing,
634,640,7R,writing,
635,640,11L,writing,
636,640,12R,writing,
637,640,13R,writing,
638,640,14L,writing,
639,640,14R,writing,
640,640,15R,writing,
641,650,1L,writing,
642,650,1R,writing,
643,650,5L,writing,
644,650,7R,letargic,
645,650,11L,writing,
646,650,12R,writing,
647,650,13R,writing,
648,650,14L,writing,
649,650,14R,writing,
650,650,15R,writing,
651,660,1L,writing,
652,660,1R,writing,
653,660,5L,writing,
654,660,7R,writing,
655,660,11L,letargic,
656,660,12R,writing,
657,660,13R,writing,
658,660,14L,writing,
659,660,14R,writing,
660,660,15R,writing,
661,670,1L,writing,
662,670,1R,writing,
663,670,5L,writing,
664,670,7R,writing,
665,670,11L,writing,
666,670,12R,letargic,
667,670,13R,writing,
668,670,14L,hit,
669,670,14R,hit,
670,670,15R,writing,
671,680,1L,writing,
672,680,1R,writing,
673,680,5L,writing,
674,680,7R,writing,
675,680,11L,writing,
676,680,12R,writing,
677,680,13R,throw,
678,680,14L,writing,
679,680,14R,writing,
680,680,15R,writing,
681,690,1L,writing,
682,690,1R,writing,
683,690,5L,writing,
684,690,7R,writing,
685,690,11L,writing,
686,690,12R,writing,
687,690,13R,writing,
688,690,14L,writing,
689,690,14R,writing,
690,690,15R,writing,
691,700,1L,breathing,
692,700,1R,breathing,
693,700,5L,breathing,
694,700,7R,breathing,
695,700,11L,breathing,
696,700,12R,breathing,
697,700,13R,breathing,
698,700,14L,breathing,
699,700,14R,breathing,
700,700,15R,breathing,
701,710,1L,breathing,
702,710,1R,breathing,
703,710,5L,breathing,
704,710,7R,breathing,
705,710,11L,breathing,
706,710,12R,breathing,
707,710,13R,breathing,
708,710,14L,breathing,
709,710,14R,breathing,
710,710,15R,breathing,
